views,likes,comments,shares,author_verified,primary_hashtag,music_name,music_is_original,duration_sec,caption,upload_date,author_name,video_id
5189,368,13,1,False,fyp,Ishqa za tabah de krom,True,20,#fyp #🐍🐍🐍🐍🐍🐍🐍🐍 #foryou #standwithkashmir                                     عشق وار خَتاَ دِ کم,2020-10-18,rizwandurrani57,6884933447480003842
197300,29200,656,78,False,top10,original sound,True,43,#Top10 Strongest #onepiece Characters by the end of the show. #anime #strongestcharacters #animeboy #luffy #zoro #animeedit #animeedits #animestiktok,2020-10-14,ernie.senpai,6883604590525156609
9315,1334,23,6,False,power,reality can he whatever i want,True,8,Absolute power is a helluva drug. #power #legday #boss #ceo #truestory #fitness,2020-10-21,benjamin_robert_graham,6886215675350666497
34700,3997,23,2,False,linhacongelante,COPYCAT x Bad Guy,True,13,De qual gostas mais? Good guy 🙂 or Bad guy? 😏 #linhacongelante #timewarpscan #mirror #transition #dlaciebie #reflection #kapinha #sike #spooky #fyp,2020-11-26,kapinhaoficial,6899411430660001026
96400,2405,48,15,False,kane,original sound,True,25,#kane #VeryBlackFriday #wwe #viral #memories #video #undertaker #fyp #goviral 🤘🏻🔥,2020-11-24,zl15_,6898613799402753281
64000,9522,273,75,False,theboys,Falling,False,44,Reply to @user26770788 #theboys #WorldSeries #GamingLife #foryou #fyp,2020-10-21,jonbezrouch,6885861410329332998
47500,11500,212,33,False,anime,What You Know Bout Love,False,21,Dejo el POV en sus manos xd(créditos a @..aguadeuwu ) #anime #animeedit #yumeko #billieeilish #bakugou #shoto #iidatenya #uraraka,2020-10-04,potofrio21,6879772200065436929
1084,143,4,8,False,,original sound,True,15,vaieral vedeo please for you for youpage,2020-11-09,jibrankoko7,6893119957534510338
61800,6153,36,8,False,duet,original sound,True,54,#duet with @brockfit__ - this is probably the wildest one I’ve seen personally. #strength #peopleareawesome #gym,2020-10-09,benjamin_robert_graham,6881624031561354498
6599,831,37,10,False,bellaforteens,оригинальный звук,True,35,Передачи от первого лица😄#bellaforteens #ставрополь #футбол #football #рек #рекомендации #rec #recommendations @step__12,2020-11-18,krotik26,6896541657471241474
99400,25000,659,1257,False,4upage,som original,True,32,tá entrei na bad dps desse vídeo...(🚫ALERTA GATILHO🚫)#4upage #tradução #otaku #anime #animecasal #bad #animeedit #virall #fy,2020-10-17,sasha.editsx,6884688821976354049
64300,1688,13,441,False,horadearrasar,Palhação do Mal,False,13,#horadearrasar,2020-12-16,matheus__36,6906870391466216709
62300,15200,126,228,False,fypシ,sonido original,True,33,#fypシ #amv #anime #animation #edit #haikyuu #hinatashoyo #weeb #animeedit,2020-11-30,piki__edits,6901020148426099969
50900,8606,147,445,False,zerotwo,sonido original,True,7,Un rival 😑😑 #zerotwo #darlinginthefranxx #animeedit #waifu #zerotwoedits,2020-11-22,un.simple_chico,6898035916682710274
18100,6025,217,177,False,jhope,оригинальный звук,True,10,#jhope #junghoseok #ПорадуйМаму #검둥개 #bts_official_bighit #recommendations #방탄소년단 #глобальныерекомендации #р_е_к_о_м_и_н_д_а_ц_и_и #horse,2020-12-02,cinsubun_10,6901681280128208130
173100,26300,315,30,False,fyp,Photograph,True,15,🏹 | I’m having some of my charli cake from my bday 🥺 | 🏹 | @charlidamelio | 🏹 | #fyp #foryou #birthdaycake #charli #queen #cake #blm,2020-10-25,trexchars,6887645369895898369
45700,2766,69,4,False,groep8a,Jingle Bell Rock,True,8,Maar er is écht veel mis aan deze video🤯😫Deze juf is toe aan weekend! #groep8a #juf #foutekersttruiendag #tegroot #badhair #stokstruggles #iloveit,2020-12-11,ivananas_,6905029441760578818
130100,7868,87,175,False,timewarpscan,verified ppl r using this im crying buh bye,True,9,AHHAHAHA #timewarpscan #drunkface,2020-10-04,stinaesther,6879842043880017154
11100000,461700,11600,102700,False,stitch,Originalton,True,12,#stitch mit @guinnessworldrecords #sonnelebensfroh#fy#fyp#fun,2020-12-13,sonnelebensfroh,6905761532039220482
776800,86000,421,308,False,,What You Know Bout Love,False,8,Thank you so much for all the support!!,2020-11-25,relaxify,6899136673347685634
1500000,125000,1164,1107,False,,original sound,True,29,The dogs went right in after him 😅 @salty.bun,2020-11-12,riovacci,6894259747290123521
86200,8204,297,93,False,hoodiechallenge,KinjaBang,False,12,"One day Zoe is going to be REALLY over my shenanigans, but for now I can still subject her to this kind of breakfast entertainment #hoodiechallenge",2020-12-14,joanna.rabon,6906170881626754309
63200,6454,107,19,False,fyp,Combination Taco Bell and Pizza Hut by Das Racist,True,15,I’m the combination #fyp #foryou #fy #voorjou #voorjoupagina #viral,2020-12-04,demiidejong,6902412854188674306
35900,899,88,7,False,tiktokfriends,original sound,True,8,And then this happened (see previous vid) 🥵 @debs_fl  #tiktokfriends #thirsttrap #missmarketing,2020-11-21,missmar29plus10,6897664007780568321
654200,86900,694,6076,False,alberta,Sweet Dreams (A cappella),False,10,Is moraine lake on your bucket list? #alberta #canada #travelcanada #travelalberta #banff #morainelake,2020-10-02,theglobewanderers,6879055868676132097
34800,5865,257,1,False,jufjoyce,cook clean plot twist tyananana,True,10,De @2e persoon heeft smetvrees en de @4e persoon laat alles liggen😂 @marito.dorito  #jufjoyce #verhuisvlog #teacher #comedy #yesidothecooking,2020-10-13,jufjoyce,6882975789143379201
47300,5805,110,33,False,pov,die for you,True,15,#POV: Je wilt niet dat je ex je ziet op een feestje en vraagt mij om hulp.. #voorjou #tiktoknl #viraal #ios14,2020-09-23,justinvanr,6875639469563759873
44700,5480,26,22,False,fyp,original sound,True,14,Hard work 🏆💪 #fyp #foryou #fy #freestylefootball #skills,2020-11-19,laurafreestyle_,6896962911969758466
